Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H
2015-10-27,501,V,Cleveland,17,23,28,27,95,197.5,198.5,160,97
2015-10-27,502,H,Chicago,26,20,25,26,97,2,4,-180,pk
2015-10-27,503,V,Detroit,25,23,34,24,106,197.5,196.5,255,98
2015-10-27,504,H,Atlanta,25,18,23,28,94,7,7,-320,7
2015-10-27,505,V,NewOrleans,35,14,26,20,95,214.5,215,510,108
2015-10-27,506,H,GoldenState,39,20,35,17,111,9.5,10.5,-710,3
2015-10-28,701,V,Washington,31,22,12,23,88,3.5,4,-180,2.5
2015-10-28,702,H,Orlando,29,22,16,20,87,204.5,202.5,160,100.5
2015-10-28,703,V,Philadelphia,26,14,27,28,95,198,198,800,98.5
2015-10-28,704,H,Boston,21,30,28,33,112,11,12.5,-1300,4.5
2015-10-28,705,V,Indiana,30,15,23,31,99,198.5,199.5,195,103
2015-10-28,706,H,Toronto,20,17,35,34,106,5.5,5.5,-235,4.5
2015-10-28,707,V,Chicago,30,28,28,29,115,6,5,-205,2.5
2015-10-28,708,H,Brooklyn,19,36,16,29,100,194.5,196.5,175,100.5
2015-10-28,709,V,Charlotte,27,17,16,34,94,193,193.5,210,94
2015-10-28,710,H,Miami,23,31,19,31,104,6.5,6.5,-260,0.5
2015-10-28,711,V,Utah,15,29,20,23,87,2,191,-105,100
2015-10-28,712,H,Detroit,16,25,28,23,92,188,pk,-115,0.5
2015-10-28,713,V,SanAntonio,27,28,28,23,106,208,207,165,108.5
2015-10-28,714,H,OklahomaCity,29,21,29,33,112,5,4,-185,3.5
2015-10-28,715,V,NewYork,27,36,27,32,122,192.5,194.5,175,98.5
2015-10-28,716,H,Milwaukee,23,28,22,24,97,6.5,4.5,-205,5.5
2015-10-28,717,V,Denver,27,26,23,29,105,212.5,211.5,510,106
2015-10-28,718,H,Houston,21,28,14,22,85,10,10.5,-710,9
2015-10-28,719,V,Cleveland,26,27,26,27,106,188.5,189,185,93.5
2015-10-28,720,H,Memphis,10,22,23,21,76,6,5,-215,7.5
2015-10-28,721,V,NewOrleans,18,25,24,27,94,206,206.5,105,5
2015-10-28,722,H,Portland,43,27,17,25,112,2.5,2,-125,102
2015-10-28,723,V,Dallas,24,30,34,23,111,204,203,210,102
2015-10-28,724,H,Phoenix,22,23,21,29,95,4.5,6,-260,6
2015-10-28,725,V,LAClippers,25,31,29,26,111,5,5.5,-230,0.5
2015-10-28,726,H,Sacramento,17,29,28,30,104,210.5,212,190,106
2015-10-28,727,V,Minnesota,22,29,37,24,112,202.5,202.5,120,1.5
2015-10-28,728,H,LALakers,31,29,35,16,111,3.5,2.5,-140,104.5
2015-10-29,501,V,Memphis,29,21,23,39,112,3,3,-145,2.5
2015-10-29,502,H,Indiana,20,29,26,28,103,185,191,125,97
2015-10-29,503,V,Atlanta,30,31,23,28,112,4,4.5,-185,101.5
2015-10-29,504,H,NewYork,20,25,27,29,101,196,199,165,2.5
2015-10-29,505,V,Dallas,17,26,25,20,88,211.5,212.5,650,105
2015-10-29,506,H,LAClippers,22,29,34,19,104,9,12,-950,6
2015-10-30,701,V,Miami,23,19,25,25,92,196,200.5,185,98
2015-10-30,702,H,Cleveland,29,18,29,26,102,7,4.5,-215,1.5
2015-10-30,703,V,Utah,28,22,24,25,99,7.5,7.5,-325,95.5
2015-10-30,704,H,Philadelphia,19,14,20,18,71,190,186,260,1
2015-10-30,705,V,OklahomaCity,31,22,22,42,139,6.5,7.5,-365,8.5
2015-10-30,706,H,Orlando,35,32,26,24,136,206,205.5,300,104
2015-10-30,707,V,Toronto,26,28,30,29,113,203.5,200,110,101
2015-10-30,708,H,Boston,26,28,21,28,103,1.5,2,-130,1
2015-10-30,709,V,Chicago,19,20,25,19,94,3,2.5,-145,0.5
2015-10-30,710,H,Detroit,23,12,29,19,98,200,203.5,125,103.5
2015-10-30,711,V,Washington,22,39,21,36,118,1,2,-135,2
2015-10-30,712,H,Milwaukee,33,32,27,21,113,200,200,115,100.5
2015-10-30,713,V,Charlotte,22,30,17,25,94,195.5,194.5,155,97
2015-10-30,714,H,Atlanta,29,24,23,21,97,5,4,-175,2.5
2015-10-30,715,V,Brooklyn,21,26,17,11,75,202,202,900,100.5
2015-10-30,716,H,SanAntonio,25,17,34,26,102,13.5,13.5,-1600,11
2015-10-30,717,V,Minnesota,26,23,30,16,95,207.5,204,140,103
2015-10-30,718,H,Denver,16,23,24,15,78,5,3.5,-160,5
2015-10-30,719,V,GoldenState,30,27,24,31,112,pk,1,-115,107.5
2015-10-30,720,H,Houston,29,15,21,27,92,216,216.5,-105,4
2015-10-30,721,V,LALakers,24,26,33,31,114,210,212,245,3
2015-10-30,722,H,Sacramento,40,34,28,30,132,5.5,7,-305,106
2015-10-30,723,V,Portland,23,26,20,23,92,207.5,204.5,170,102
2015-10-30,724,H,Phoenix,27,28,28,27,110,5,4.5,-200,1
2015-10-31,501,V,Utah,23,19,28,27,97,191,193,140,0.5
2015-10-31,502,H,Indiana,29,20,12,15,76,4.5,4,-160,103
2015-10-31,503,V,NewYork,29,30,28,30,117,202,205,260,101.5
2015-10-31,504,H,Washington,29,27,34,20,110,7,7,-320,6
2015-10-31,505,V,GoldenState,31,33,41,29,134,5,5.5,-235,5
2015-10-31,506,H,NewOrleans,28,37,26,29,120,212,211.5,200,105
2015-10-31,507,V,Brooklyn,26,19,24,22,91,193,192.5,705,96.5
2015-10-31,508,H,Memphis,31,25,23,22,101,12,12,-955,4
2015-10-31,509,V,Phoenix,27,29,18,27,101,204,204,105,102
2015-10-31,510,H,Portland,23,25,23,19,90,3.5,2,-125,2.5
2015-10-31,511,V,Sacramento,31,24,24,30,109,215.5,216,485,109
2015-10-31,512,H,LAClippers,24,35,24,31,114,11.5,10.5,-635,5
2015-11-01,701,V,Atlanta,28,18,24,24,94,1,2,-140,100
2015-11-01,702,H,Charlotte,18,21,37,16,92,193.5,195.5,120,1
2015-11-01,703,V,SanAntonio,23,21,20,31,95,4,5.5,-260,106
2015-11-01,704,H,Boston,13,18,23,33,87,202,203,210,0.5
2015-11-01,705,V,Milwaukee,19,22,30,16,87,204.5,201,200,1.5
2015-11-01,706,H,Toronto,24,31,26,25,106,7,6,-240,99
2015-11-01,707,V,Houston,35,28,12,14,89,204.5,207.5,150,101.5
2015-11-01,708,H,Miami,30,14,31,34,109,1.5,4,-170,5.5
2015-11-01,709,V,Orlando,26,14,23,24,87,200,199,300,99
