Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H
2019-10-22,501,V,NewOrleans,30,31,25,31,122,231.5,229.5,230,113
2019-10-22,502,H,Toronto,27,29,32,29,130,6.5,6.5,-280,6
2019-10-22,503,V,LALakers,25,29,31,17,102,227,3.5,-180,5
2019-10-22,504,H,LAClippers,22,40,23,27,112,1.5,224,150,110.5
2019-10-23,505,V,Detroit,27,27,29,36,119,210,211,240,104
2019-10-23,506,H,Indiana,24,31,31,24,110,5,7,-300,4.5
2019-10-23,507,V,Cleveland,24,17,24,20,85,212.5,211.5,400,108
2019-10-23,508,H,Orlando,28,27,16,23,94,7.5,9.5,-550,1
2019-10-23,509,V,Chicago,28,27,40,30,125,1.5,3.5,-170,4
2019-10-23,510,H,Charlotte,37,26,33,30,126,218.5,216.5,145,112
2019-10-23,511,V,Boston,25,23,20,25,93,215,214.5,190,110.5
2019-10-23,512,H,Philadelphia,20,29,28,30,107,6,5.5,-240,3.5
2019-10-23,513,V,Memphis,32,28,24,17,101,210.5,213,240,104.5
2019-10-23,514,H,Miami,24,30,29,37,120,7.5,6.5,-300,4.5
2019-10-23,515,V,Minnesota,33,35,20,27,127,225.5,229,142,112.5
2019-10-23,516,H,Brooklyn,22,34,37,22,126,5,3.5,-165,5
2019-10-23,517,V,NewYork,15,36,33,27,111,214,214.5,525,104.5
2019-10-23,518,H,SanAntonio,22,37,24,37,120,9.5,11,-750,3.5
2019-10-23,519,V,Washington,25,23,20,32,100,223,220,350,105.5
2019-10-23,520,H,Dallas,24,38,29,17,108,8.5,9,-450,1
2019-10-23,521,V,OklahomaCity,12,34,28,21,95,222,221.5,375,107
2019-10-23,522,H,Utah,23,26,19,32,100,9.5,9,-500,4.5
2019-10-23,523,V,Sacramento,29,30,17,19,95,2.5,1,-115,114
2019-10-23,524,H,Phoenix,25,29,32,38,124,233,232.5,-105,2
2019-10-23,525,V,Denver,24,30,19,35,108,219.5,1.5,-120,106
2019-10-23,526,H,Portland,27,23,24,26,100,2.5,217.5,100,1
2019-10-24,527,V,Atlanta,38,22,31,26,117,222,221.5,105,110
2019-10-24,528,H,Detroit,32,31,18,19,100,1.5,1.5,-125,pk
2019-10-24,529,V,Milwaukee,23,27,28,39,117,231.5,231,100,4.5
2019-10-24,530,H,Houston,30,36,21,24,111,2,1.5,-120,117.5
2019-10-24,531,V,LAClippers,35,30,46,30,141,225,229.5,-110,110.5
2019-10-24,532,H,GoldenState,29,25,33,35,122,pk,pk,-110,2
2019-10-25,533,V,Toronto,21,28,33,24,106,217.5,213,120,104.5
2019-10-25,534,H,Boston,22,28,26,36,112,3,2.5,-140,1
2019-10-25,535,V,Minnesota,30,28,45,18,121,4,5,-220,2.5
2019-10-25,536,H,Charlotte,32,24,25,18,99,229,225,180,109.5
2019-10-25,537,V,NewYork,23,28,32,26,109,225.5,228,280,110
2019-10-25,538,H,Brooklyn,32,32,30,19,113,8.5,8,-360,1
2019-10-25,539,V,Washington,28,24,26,19,97,218.5,218,300,106.5
2019-10-25,540,H,OklahomaCity,24,22,24,15,85,6.5,8.5,-400,8
2019-10-25,541,V,Dallas,27,45,23,28,123,228,227,110,111.5
2019-10-25,542,H,NewOrleans,41,23,29,23,116,2,2,-130,3.5
2019-10-25,543,V,Chicago,25,22,32,31,110,220.5,2,-125,5.5
2019-10-25,544,H,Memphis,29,31,21,21,102,1,224,105,116
2019-10-25,545,V,Phoenix,21,24,17,33,107,221,219.5,650,111.5
2019-10-25,546,H,Denver,15,24,25,31,108,11.5,12,-1000,10.5
2019-10-25,547,V,Portland,25,32,37,28,122,226.5,1,-120,1.5
2019-10-25,548,H,Sacramento,27,30,27,28,112,1,227.5,100,117.5
2019-10-25,549,V,Utah,17,20,18,31,86,218,215.5,140,109.5
2019-10-25,550,H,LALakers,24,19,31,21,95,2,3.5,-160,pk
2019-10-26,551,V,Miami,29,24,29,39,131,226.5,223,550,107.5
2019-10-26,552,H,Milwaukee,33,37,23,28,126,9.5,11.5,-800,2
2019-10-26,553,V,Philadelphia,28,26,29,34,117,5,4.5,-190,4.5
2019-10-26,554,H,Detroit,29,28,26,28,111,214,213,160,103
