Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H
2017-10-17,501,V,Boston,19,19,33,28,99,214.5,216,166,1.5
2017-10-17,502,H,Cleveland,29,25,18,30,102,4,4.5,-195,110
2017-10-17,503,V,Houston,34,28,26,34,122,232,231.5,364,115.5
2017-10-17,504,H,GoldenState,35,36,30,20,121,9,9,-470,2.5
2017-10-18,701,V,Brooklyn,30,33,35,33,131,212,216.5,135,112.5
2017-10-18,702,H,Indiana,29,36,41,34,140,3.5,3,-155,1.5
2017-10-18,703,V,Philadelphia,23,36,23,33,115,215.5,217.5,240,108.5
2017-10-18,704,H,Washington,32,24,34,30,120,6.5,6.5,-300,6
2017-10-18,705,V,Miami,37,18,23,31,109,3,3.5,-170,4
2017-10-18,706,H,Orlando,32,26,30,28,116,207,205.5,145,100
2017-10-18,707,V,Charlotte,27,18,25,20,90,204,202,125,2.5
2017-10-18,708,H,Detroit,29,27,26,20,102,3,2.5,-145,100
2017-10-18,709,V,Milwaukee,24,34,18,32,108,208.5,203,105,101
2017-10-18,710,H,Boston,26,27,27,20,100,6,1.5,-125,2
2017-10-18,711,V,NewOrleans,34,18,18,21,91,205,204.5,110,100.5
2017-10-18,712,H,Memphis,27,27,25,24,103,3,2,-130,0.5
2017-10-18,713,V,Atlanta,27,31,24,35,117,199.5,199,190,103.5
2017-10-18,714,H,Dallas,24,23,35,29,111,6.5,5.5,-240,6
2017-10-18,715,V,Denver,30,28,25,13,96,209,205,120,101.5
2017-10-18,716,H,Utah,21,28,29,28,106,2,2.5,-140,3.5
2017-10-18,717,V,Minnesota,25,24,28,22,99,207,203.5,105,1
2017-10-18,718,H,SanAntonio,32,21,34,20,107,3,1.5,-125,100
2017-10-18,719,V,Houston,26,26,23,30,105,9,7,-310,2.5
2017-10-18,720,H,Sacramento,25,23,24,28,100,218.5,216.5,250,105
2017-10-18,721,V,Portland,29,31,38,26,124,1,2.5,-140,113
2017-10-18,722,H,Phoenix,21,14,20,21,76,220,219.5,120,5
2017-10-19,501,V,Chicago,23,14,27,37,101,206,206.5,800,101
2017-10-19,502,H,Toronto,25,33,26,33,117,12,14,-1400,1.5
2017-10-19,503,V,NewYork,24,18,17,25,84,213,215.5,650,103.5
2017-10-19,504,H,OklahomaCity,27,26,26,26,105,11.5,12.5,-1000,3.5
2017-10-19,505,V,LAClippers,27,26,34,21,108,4.5,6.5,-260,108.5
2017-10-19,506,H,LALakers,19,23,21,29,92,218.5,219,210,pk
2017-10-20,701,V,Boston,24,22,23,33,102,1,217,130,112
2017-10-20,702,H,Philadelphia,21,29,22,20,92,216.5,3,-150,0.5
2017-10-20,703,V,Atlanta,28,28,17,18,91,202.5,205.5,160,107.5
2017-10-20,704,H,Charlotte,18,31,35,25,109,6,4.5,-190,4
2017-10-20,705,V,Detroit,31,34,16,30,111,210.5,211.5,230,104
2017-10-20,706,H,Washington,29,29,33,24,115,6.5,6.5,-280,6
2017-10-20,707,V,Cleveland,25,30,31,30,116,1.5,209.5,-105,103
2017-10-20,708,H,Milwaukee,25,24,24,24,97,210,1,-115,2
2017-10-20,709,V,Portland,31,31,29,23,114,3.5,6,-230,0.5
2017-10-20,710,H,Indiana,25,27,21,23,96,219,218.5,185,112.5
2017-10-20,711,V,Orlando,27,28,36,30,121,220,226,110,111
2017-10-20,712,H,Brooklyn,29,29,31,37,126,1,2,-130,pk
2017-10-20,713,V,Utah,16,26,23,32,97,200,197,170,101.5
2017-10-20,714,H,Minnesota,19,27,24,30,100,5.5,5,-200,1.5
2017-10-20,715,V,Sacramento,19,27,25,22,93,203,201.5,200,98.5
2017-10-20,716,H,Dallas,23,23,14,28,88,5.5,6,-250,4
2017-10-20,717,V,GoldenState,26,35,37,30,128,6.5,9,-470,9
2017-10-20,718,H,NewOrleans,39,25,26,30,120,222.5,221,360,109.5
2017-10-20,719,V,LALakers,40,30,36,26,132,222,220.5,140,110.5
2017-10-20,720,H,Phoenix,36,37,26,31,130,2.5,3.5,-160,1
2017-10-21,501,V,Philadelphia,19,30,22,23,94,216,219,292,107
2017-10-21,502,H,Toronto,36,26,40,26,128,7.5,8.5,-365,pk
2017-10-21,503,V,Orlando,36,20,32,26,114,212.5,216,588,105.5
2017-10-21,504,H,Cleveland,18,27,20,28,93,11,11.5,-850,13
2017-10-21,505,V,Dallas,20,19,19,33,91,214.5,216,588,106.5
2017-10-21,506,H,Houston,33,29,30,15,107,10.5,11.5,-850,0.5
2017-10-21,507,V,Detroit,19,32,28,32,111,1.5,1,-115,5
2017-10-21,508,H,NewYork,28,36,16,27,107,206.5,204.5,-105,100
2017-10-21,509,V,Indiana,31,19,26,32,108,211,213.5,334,104.5
2017-10-21,510,H,Miami,26,37,28,21,112,8.5,9.5,-425,1
2017-10-21,511,V,SanAntonio,19,22,24,22,87,7.5,10,-600,5.5
2017-10-21,512,H,Chicago,21,17,17,22,77,202,200.5,447,104.5
2017-10-21,513,V,GoldenState,26,25,20,30,101,7.5,8.5,-375,8.5
2017-10-21,514,H,Memphis,31,25,32,23,111,213,212.5,299,105.5
2017-10-21,515,V,Portland,26,29,25,30,110,213.5,208.5,130,108
2017-10-21,516,H,Milwaukee,24,36,24,29,113,4.5,3,-150,0.5
2017-10-21,517,V,Sacramento,18,16,18,27,79,216,212.5,588,103
2017-10-21,518,H,Denver,17,25,24,30,96,11,12.5,-850,4.5
2017-10-21,519,V,OklahomaCity,14,20,23,30,87,4,4,-180,5
2017-10-21,520,H,Utah,21,23,29,23,96,200.5,200,155,96.5
2017-10-21,521,V,Phoenix,18,26,20,24,88,220,220,857,113
2017-10-21,522,H,LAClippers,23,35,32,40,130,11.5,13.5,-1450,3
2017-10-22,701,V,Atlanta,25,28,24,27,104,219.5,220,-105,pk
2017-10-22,702,H,Brooklyn,19,37,35,25,116,2.5,1,-115,116
2017-10-22,703,V,Minnesota,28,33,27,27,115,211.5,212,150,104
2017-10-22,704,H,OklahomaCity,23,31,21,38,113,4.5,4,-180,4.5
2017-10-22,705,V,NewOrleans,34,34,26,25,119,4,5.5,-210,110.5
2017-10-22,706,H,LALakers,22,33,28,29,112,217,222.5,175,1.5
2017-10-23,501,V,Philadelphia,31,25,19,22,97,213,213.5,140,104
2017-10-23,502,H,Detroit,22,21,24,19,86,4,3,-160,5.5
2017-10-23,503,V,Atlanta,23,21,29,20,93,206,205,500,106
2017-10-23,504,H,Miami,26,36,15,27,104,11.5,10.5,-700,0.5
2017-10-23,505,V,Memphis,24,26,20,28,98,210.5,213.5,280,105
2017-10-23,506,H,Houston,26,31,19,14,90,8,8,-360,2
2017-10-23,507,V,Charlotte,25,29,23,17,94,205,203.5,210,101
2017-10-23,508,H,Milwaukee,18,35,30,20,103,6,6.5,-260,5
2017-10-23,509,V,GoldenState,40,25,34,34,133,10.5,13.5,-1400,8.5
2017-10-23,510,H,Dallas,24,38,22,19,103,214,217.5,800,107.5
2017-10-23,511,V,Toronto,23,27,24,23,97,206,202,125,99
2017-10-23,512,H,SanAntonio,21,29,25,26,101,2.5,2.5,-145,2
2017-10-23,513,V,Washington,29,27,22,31,109,223,224,170,108.5
2017-10-23,514,H,Denver,29,26,22,27,104,2.5,5,-200,4
2017-10-23,515,V,Sacramento,17,34,25,39,115,211,2.5,-140,4
2017-10-23,516,H,Phoenix,36,23,28,30,117,2,206.5,120,102
2017-10-24,701,V,Brooklyn,30,31,35,25,121,229,228.5,170,118
2017-10-24,702,H,Orlando,30,31,26,38,125,3.5,5,-200,3.5
2017-10-24,703,V,Chicago,38,30,24,20,112,207.5,205.5,1100,102
2017-10-24,704,H,Cleveland,28,37,26,28,119,14,15,-2500,11
2017-10-24,705,V,NewYork,17,16,27,29,89,210,208,240,2
2017-10-24,706,H,Boston,30,24,23,33,110,9,7,-300,100.5
2017-10-24,707,V,Indiana,33,28,37,32,130,217,218,500,106.5
2017-10-24,708,H,Minnesota,20,41,23,23,107,11,10.5,-700,7
2017-10-24,709,V,NewOrleans,19,29,25,20,93,219,216.5,170,104.5
2017-10-24,710,H,Portland,29,18,24,32,103,4.5,5,-200,6
2017-10-24,711,V,Utah,20,21,15,28,84,200.5,196,170,102.5
2017-10-24,712,H,LAClippers,27,15,33,27,102,3,5,-200,3.5
2017-10-25,501,V,Minnesota,26,18,29,28,101,208,209,120,4
2017-10-25,502,H,Detroit,23,40,28,31,122,pk,2.5,-140,100.5
2017-10-25,503,V,Houston,31,25,23,26,105,3,3,-160,1.5
2017-10-25,504,H,Philadelphia,33,21,26,24,104,223,221,140,107.5
2017-10-25,505,V,Denver,23,16,29,25,93,212,2.5,-140,7
2017-10-25,506,H,Charlotte,27,35,23,25,110,pk,211.5,120,103.5
2017-10-25,507,V,Cleveland,23,29,21,34,107,7,8,-340,7.5
2017-10-25,508,H,Brooklyn,26,29,29,28,112,227,223.5,270,110.5
