Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H
2009-10-27,501,V,Boston,21,30,21,23,95,187.5,183.5,170.0,90.5
2009-10-27,502,H,Cleveland,28,17,20,24,89,4.5,5,-200.0,4.5
2009-10-27,503,V,Washington,21,35,21,25,102,205,210,320.0,107
2009-10-27,504,H,Dallas,21,29,24,17,91,8.5,8.5,-400.0,8
2009-10-27,505,V,Houston,23,18,15,31,87,187.5,188,400.0,93.5
2009-10-27,506,H,Portland,23,31,21,21,96,10,9,-500.0,1.5
2009-10-27,507,V,LAClippers,22,27,26,17,92,208,202,625.0,102
2009-10-27,508,H,LALakers,32,27,17,23,99,10,12,-850.0,3.5
2009-10-28,701,V,Philadelphia,27,20,22,37,106,194,194.5,450.0,0.5
2009-10-28,702,H,Orlando,29,41,30,20,120,8,10,-600.0,96.5
2009-10-28,703,V,Indiana,32,33,29,15,109,211,206,300.0,103.5
2009-10-28,704,H,Atlanta,29,37,29,25,120,6.5,7.5,-370.0,4
2009-10-28,705,V,Cleveland,22,17,32,20,91,5.5,7.5,-325.0,8.5
2009-10-28,706,H,Toronto,27,30,21,23,101,191,194,265.0,97.5
2009-10-28,707,V,Charlotte,13,18,10,18,59,185,183,500.0,91
2009-10-28,708,H,Boston,22,20,25,25,92,10.5,10,-700.0,2.5
2009-10-28,709,V,NewYork,23,24,15,31,93,211,206,180.0,102.5
2009-10-28,710,H,Miami,27,29,34,25,115,6,5,-220.0,pk
2009-10-28,711,V,Detroit,24,29,18,25,96,2,1.5,-125.0,95
2009-10-28,712,H,Memphis,20,21,16,17,74,185,191,105.0,2.5
2009-10-28,713,V,Sacramento,22,29,17,21,89,207,204.5,250.0,1
2009-10-28,714,H,OklahomaCity,39,29,21,13,102,7.5,6.5,-300.0,101
2009-10-28,715,V,NewOrleans,13,26,29,28,96,184,187.5,400.0,93.5
2009-10-28,716,H,SanAntonio,19,38,31,25,113,8.5,9.5,-525.0,pk
2009-10-28,717,V,NewJersey,25,30,23,15,93,199.5,2,-130.0,97
2009-10-28,718,H,Minnesota,21,22,21,31,95,2,194,110.0,2.5
2009-10-28,719,V,Utah,30,25,25,25,105,210,208.5,185.0,105.5
2009-10-28,720,H,Denver,23,31,28,32,114,6.5,5,-225.0,4.5
2009-10-28,721,V,Houston,26,26,35,21,108,216,213,190.0,105.5
2009-10-28,722,H,GoldenState,28,34,19,26,107,6.5,5.5,-230.0,pk
2009-10-28,723,V,Phoenix,24,29,24,32,109,222,2.5,-145.0,2.5
2009-10-28,724,H,LAClippers,31,22,26,28,107,1,217,125.0,107
2009-10-29,501,V,SanAntonio,23,23,18,21,85,4.5,3.5,-150.0,3
2009-10-29,502,H,Chicago,22,25,27,18,92,194,193,130.0,96.5
2009-10-29,503,V,Denver,24,18,20,35,97,199,201,270.0,99.5
2009-10-29,504,H,Portland,17,26,24,27,94,6,7,-330.0,4.5
2009-10-30,701,V,Milwaukee,18,29,20,19,86,196,191.5,220.0,95.5
2009-10-30,702,H,Philadelphia,23,18,35,23,99,8,6,-260.0,5
2009-10-30,703,V,NewYork,13,24,18,27,100,197.5,196,105.0,3.5
2009-10-30,704,H,Charlotte,32,19,18,13,102,2.5,1.5,-125.0,96.5
2009-10-30,705,V,Washington,24,20,22,23,89,203,202.5,220.0,1.5
2009-10-30,706,H,Atlanta,29,29,17,25,100,6.5,6,-260.0,103.5
2009-10-30,707,V,Chicago,17,18,26,29,90,189,187.5,600.0,93.5
2009-10-30,708,H,Boston,21,29,38,30,118,11,11.5,-900.0,2
2009-10-30,709,V,OklahomaCity,16,22,24,29,91,192.5,190,180.0,93
2009-10-30,710,H,Detroit,24,21,16,22,83,6.5,5,-220.0,1
2009-10-30,711,V,Miami,28,21,30,17,96,210,213,105.0,106.5
2009-10-30,712,H,Indiana,16,31,16,20,83,1.5,1.5,-125.0,1
2009-10-30,713,V,Sacramento,27,23,25,17,92,199,201.5,600.0,100.5
2009-10-30,714,H,NewOrleans,25,25,22,25,97,11.5,11.5,-900.0,7
2009-10-30,715,V,Toronto,22,27,30,28,107,4,2.5,-140.0,2.5
2009-10-30,716,H,Memphis,23,30,23,39,115,193.5,195,120.0,97.5
2009-10-30,717,V,Cleveland,25,32,26,21,104,11.5,12,-1100.0,4
2009-10-30,718,H,Minnesota,18,29,21,19,87,189.5,192,750.0,96.5
2009-10-30,719,V,Orlando,29,21,25,20,95,9,9.5,-600.0,3.5
2009-10-30,720,H,NewJersey,24,20,18,23,85,200.5,199,400.0,98.5
2009-10-30,721,V,LAClippers,32,28,24,14,98,202.5,202.5,325.0,101.5
2009-10-30,722,H,Utah,34,26,23,28,111,9.5,9,-450.0,6.5
2009-10-30,723,V,GoldenState,24,27,22,28,101,227,233,190.0,0.5
2009-10-30,724,H,Phoenix,28,34,30,31,123,7,5,-230.0,114
2009-10-30,725,V,Dallas,24,28,26,16,94,201,204.5,310.0,101.5
2009-10-30,726,H,LALakers,21,24,15,20,80,8.5,7.5,-380.0,8
2009-10-31,501,V,NewJersey,24,27,28,25,104,195,191,230.0,96
2009-10-31,502,H,Washington,28,34,37,24,123,4.5,6.5,-270.0,pk
2009-10-31,503,V,Charlotte,21,20,13,25,79,182.5,181.5,1300.0,90
2009-10-31,504,H,Cleveland,25,20,21,24,90,14.5,15,-2400.0,8.5
2009-10-31,505,V,Philadelphia,40,30,26,26,141,2,2,-140.0,101
2009-10-31,506,H,NewYork,25,26,30,41,127,205.5,206,120.0,3.5
2009-10-31,507,V,Portland,28,26,25,28,107,4,2.5,-145.0,2.5
2009-10-31,508,H,Houston,33,26,24,28,111,185.5,187.5,125.0,94.5
