Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H
2021-10-19,501,V,Brooklyn,25,34,26,19,104,240.5,233.5,105,2
2021-10-19,502,H,Milwaukee,37,29,31,30,127,pk,1.5,-125,114
2021-10-19,503,V,GoldenState,32,21,30,38,121,230.5,226.5,140,111.5
2021-10-19,504,H,LALakers,34,25,26,29,114,4.5,3.5,-160,pk
2021-10-20,505,V,Indiana,38,37,13,34,122,228.5,1.5,-125,110.5
2021-10-20,506,H,Charlotte,27,32,33,31,123,2,223,105,4
2021-10-20,507,V,Chicago,14,26,31,23,94,2.5,5,-220,5.5
2021-10-20,508,H,Detroit,20,24,25,19,88,220.5,218,190,110.5
2021-10-20,509,V,Washington,26,31,24,17,98,220,223,120,109
2021-10-20,510,H,Toronto,18,19,22,24,83,3.5,2.5,-140,6
2021-10-20,511,V,Boston,35,23,24,34,134,217.5,220,120,112.5
2021-10-20,512,H,NewYork,29,25,32,30,138,1,2.5,-140,2.5
2021-10-20,513,V,Cleveland,32,29,29,31,121,217.5,218.5,240,107
2021-10-20,514,H,Memphis,32,41,21,38,132,8,7,-280,pk
2021-10-20,515,V,Philadelphia,29,24,28,36,117,1.5,4,-170,2.5
2021-10-20,516,H,NewOrleans,25,28,17,27,97,227.5,224,150,109
2021-10-20,517,V,Houston,21,24,26,35,106,228.5,232,220,3.5
2021-10-20,518,H,Minnesota,32,40,27,25,124,4.5,6.5,-260,113
2021-10-20,519,V,Orlando,28,21,22,26,97,215.5,212.5,225,104
2021-10-20,520,H,SanAntonio,32,29,33,29,123,5.5,7,-265,pk
2021-10-20,521,V,OklahomaCity,18,24,21,23,86,221.5,221.5,750,107
2021-10-20,522,H,Utah,27,27,29,24,107,11.5,14,-1200,5
2021-10-20,523,V,Sacramento,24,38,38,24,124,231.5,234,220,114
2021-10-20,524,H,Portland,23,26,36,36,121,5.5,6.5,-260,7
2021-10-20,525,V,Denver,26,25,34,25,110,224.5,224,200,108.5
2021-10-20,526,H,Phoenix,20,38,24,16,98,6.5,6,-240,1
2021-10-21,527,V,Dallas,20,24,20,23,87,224.5,225.5,120,1
2021-10-21,528,H,Atlanta,22,29,35,27,113,2.5,2.5,-140,110
2021-10-21,529,V,Milwaukee,17,26,26,26,95,1.5,222.5,130,5.5
2021-10-21,530,H,Miami,40,32,33,32,137,224.5,3,-150,114.5
2021-10-21,531,V,LAClippers,27,40,26,20,113,225.5,229,160,116.5
2021-10-21,532,H,GoldenState,44,22,24,25,115,2.5,4,-180,4
2021-10-22,533,V,NewYork,36,29,21,35,121,4.5,7.5,-350,103.5
2021-10-22,534,H,Orlando,16,19,29,32,96,212,212,290,3.5
2021-10-22,535,V,Charlotte,27,27,36,33,123,3,2.5,-135,2
2021-10-22,536,H,Cleveland,30,29,30,23,112,225.5,226,115,111
2021-10-22,537,V,Indiana,36,37,23,27,134,230,2,-130,1.5
2021-10-22,538,H,Washington,32,41,33,17,135,2,225.5,110,111.5
2021-10-22,539,V,Toronto,23,28,33,31,115,221,217.5,240,105
2021-10-22,540,H,Boston,23,24,17,19,83,8,7,-280,6.5
2021-10-22,541,V,Brooklyn,28,27,30,29,114,1,1,-120,2.5
2021-10-22,542,H,Philadelphia,34,28,29,18,109,229.5,224.5,100,109.5
2021-10-22,543,V,OklahomaCity,21,26,26,18,91,225.5,221,130,5.5
2021-10-22,544,H,Houston,34,35,31,24,124,3,2.5,-150,107
