Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H
2016-10-25,501,V,NewYork,18,27,19,24,88,205.5,206,355,103.5
2016-10-25,502,H,Cleveland,28,20,34,35,117,9.5,9,-450,5
2016-10-25,503,V,Utah,26,20,37,21,104,194,192,195,99.5
2016-10-25,504,H,Portland,26,28,23,36,113,6,5.5,-235,pk
2016-10-25,505,V,SanAntonio,31,33,33,32,129,210.5,212,325,110
2016-10-25,506,H,GoldenState,20,26,31,23,100,8,8,-400,10.5
2016-10-26,701,V,Miami,23,27,30,28,108,202,200,135,99.5
2016-10-26,702,H,Orlando,27,26,16,27,96,4,3,-155,1
2016-10-26,703,V,Dallas,21,31,33,30,121,207.5,204.5,185,103.5
2016-10-26,704,H,Indiana,33,26,35,21,130,5,5.5,-215,1
2016-10-26,705,V,Detroit,23,23,25,20,91,195,197,210,0.5
2016-10-26,706,H,Toronto,33,25,28,23,109,7,6,-260,98
2016-10-26,707,V,Brooklyn,31,27,23,36,117,209,212.5,601,109
2016-10-26,708,H,Boston,33,31,33,25,122,14,11.5,-902,5
2016-10-26,709,V,Minnesota,32,27,16,23,98,197,1.5,-120,100
2016-10-26,710,H,Memphis,29,21,26,26,102,3.5,199,100,2
2016-10-26,711,V,Charlotte,32,24,27,24,107,pk,1.5,-120,97
2016-10-26,712,H,Milwaukee,24,17,25,30,96,196,195,100,3.5
2016-10-26,713,V,OklahomaCity,23,28,18,34,103,7,9,-460,6
2016-10-26,714,H,Philadelphia,24,27,24,22,97,208,209.5,365,104
2016-10-26,715,V,Denver,30,30,25,22,107,208.5,206,105,101
2016-10-26,716,H,NewOrleans,24,24,29,25,102,4,1.5,-125,3.5
2016-10-26,717,V,Sacramento,30,27,27,29,113,210,211.5,130,107
2016-10-26,718,H,Phoenix,19,19,29,27,94,3,3,-150,6.5
2016-10-26,719,V,Houston,38,33,25,18,114,5,6,-260,1.5
2016-10-26,720,H,LALakers,38,25,27,30,120,220,225,210,115
2016-10-27,501,V,Washington,27,29,24,19,99,203.5,201.5,155,101
2016-10-27,502,H,Atlanta,29,28,24,33,114,2.5,3.5,-175,2
2016-10-27,503,V,Boston,20,29,24,26,99,1,208.5,-105,2
2016-10-27,504,H,Chicago,30,27,22,26,105,210.5,1,-115,106.5
2016-10-27,505,V,LAClippers,28,30,24,32,114,1.5,2.5,-140,105.5
2016-10-27,506,H,Portland,27,22,33,24,106,208.5,210,120,2
2016-10-27,507,V,SanAntonio,27,26,23,26,102,8,7.5,-360,7.5
2016-10-27,508,H,Sacramento,29,28,14,23,94,206,203,295,107.5
2016-10-28,701,V,Cleveland,28,22,21,23,94,3,2.5,-145,100.5
2016-10-28,702,H,Toronto,23,17,27,24,91,204.5,205.5,125,2
2016-10-28,703,V,Orlando,22,9,20,31,82,197,195,160,4
2016-10-28,704,H,Detroit,24,30,32,22,108,4,4,-180,96
2016-10-28,705,V,Indiana,27,21,31,15,94,6.5,5.5,-230,6.5
2016-10-28,706,H,Brooklyn,20,32,20,31,103,211.5,218.5,190,109.5
2016-10-28,707,V,Phoenix,40,13,30,19,110,211,209,280,107
2016-10-28,708,H,OklahomaCity,25,24,28,25,113,10.5,7.5,-345,7.5
2016-10-28,709,V,Charlotte,21,25,27,24,97,198,1.5,-120,4
2016-10-28,710,H,Miami,23,34,20,14,91,1.5,197,100,97.5
2016-10-28,711,V,Houston,24,28,25,29,106,217,2,-130,1
2016-10-28,712,H,Dallas,24,26,17,31,98,2,218.5,110,107
2016-10-28,713,V,LALakers,27,16,22,24,89,199,202,370,100
2016-10-28,714,H,Utah,28,20,17,31,96,9.5,9,-465,4
2016-10-28,715,V,GoldenState,32,27,33,30,122,9.5,12.5,-1000,5
