Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H
2020-12-22,501,V,GoldenState,25,20,26,28,99,228,234.5,265,1
2020-12-22,502,H,Brooklyn,40,23,36,26,125,5.5,7.5,-320,115
2020-12-22,503,V,LAClippers,39,17,33,27,116,223,219,115,108.5
2020-12-22,504,H,LALakers,19,35,24,31,109,2.5,2,-135,3.5
2020-12-23,551,V,Charlotte,23,21,36,34,114,215,3,-140,7
2020-12-23,552,H,Cleveland,24,41,28,28,121,1,217,120,107
2020-12-23,553,V,NewYork,33,33,16,25,107,214.5,215.5,270,107.5
2020-12-23,554,H,Indiana,35,26,27,33,121,8.5,7.5,-330,7.5
2020-12-23,555,V,Miami,29,24,30,24,107,3.5,4.5,-190,5
2020-12-23,556,H,Orlando,27,29,23,34,113,220.5,219,170,106.5
2020-12-23,557,V,Washington,26,33,24,24,107,229,230.5,250,113.5
2020-12-23,558,H,Philadelphia,30,28,15,40,113,7.5,7,-300,5.5
2020-12-23,559,V,Milwaukee,34,25,25,37,121,2.5,4.5,-190,4
2020-12-23,560,H,Boston,31,33,37,21,122,226,223,170,115
2020-12-23,561,V,NewOrleans,23,27,38,25,113,230,228.5,150,111
2020-12-23,562,H,Toronto,26,31,22,20,99,5,3.5,-170,pk
2020-12-23,563,V,Atlanta,42,41,28,13,124,1.5,2,-130,116
2020-12-23,564,H,Chicago,29,30,20,25,104,227,234,110,6
2020-12-23,567,V,SanAntonio,30,36,33,32,131,231.5,230,110,117
2020-12-23,568,H,Memphis,33,20,35,31,119,3,2,-130,5
2020-12-23,569,V,Detroit,34,23,28,16,101,227,224.5,190,110
2020-12-23,570,H,Minnesota,25,31,24,31,111,5.5,5.5,-220,4.5
2020-12-23,571,V,Sacramento,25,28,36,23,124,224.5,227.5,260,111.5
2020-12-23,572,H,Denver,31,29,24,28,122,8,7.5,-310,2
2020-12-23,573,V,Utah,32,33,29,26,120,229,1.5,-130,115
2020-12-23,574,H,Portland,25,19,24,32,100,1.5,226,110,5
2020-12-23,575,V,Dallas,22,23,26,31,102,237,232.5,100,2
2020-12-23,576,H,Phoenix,23,30,24,29,106,pk,1.5,-120,113
2020-12-25,577,V,NewOrleans,26,27,26,19,98,229,221,130,3
2020-12-25,578,H,Miami,29,37,22,23,111,5,3,-150,107.5
2020-12-25,579,V,GoldenState,25,31,20,23,99,233.5,230.5,450,113
2020-12-25,580,H,Milwaukee,33,33,34,38,138,8.5,10,-600,2.5
2020-12-25,581,V,Brooklyn,26,25,35,37,123,227,3,-145,3
2020-12-25,582,H,Boston,22,32,23,18,95,pk,229.5,125,114
2020-12-25,583,V,Dallas,30,27,28,30,115,230,226,225,1.5
2020-12-25,584,H,LALakers,33,36,30,39,138,6.5,6,-265,110.5
2020-12-25,585,V,LAClippers,32,40,26,23,121,2,3.5,-160,110.5
2020-12-25,586,H,Denver,26,29,24,29,108,222,226.5,140,3.5
2020-12-26,501,V,Atlanta,27,31,29,35,122,1,238.5,120,117.5
2020-12-26,502,H,Memphis,22,34,32,24,112,237.5,2.5,-140,1
2020-12-26,503,V,Cleveland,26,33,22,20,128,220,214,-110,105.5
